one,EQ,44.4,44.4,42.9,43.05,43.1,43.4,25589,1108912.35,05-NOV-2018,275,INE144J01027,
two,EQ,23.95,23.95,23.05,23.25,23.05,23.5,4903,114697.2,05-NOV-2018,31,INE253B01015,
three,EQ,3.3,3.5,3.3,3.4,3.4,3.3,1563338,5293597.1,05-NOV-2018,647,INE748C01020,
